Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"Dialog.Cengiz_3_1_1",19653742592,"快天亮了，到处都是暴徒和害虫，他们难道从不睡觉吗？","IT IS ALMOST MORNING AND EVERYWHERE IS CRAWLING WITH THUGS AND VERMIN, DO THEY NOT EVER SLEEP?","LE JOUR SE LÈVE ET CES RACALES TRAÎNENT PARTOUT… ILS DORMENT JAMAIS OU QUOI ?","ES WIRD SCHON MORGEN UND ÜBERALL KRABBELN SCHLÄGER UND ABSCHAUM. SCHLAFEN DIE ÜBERHAUPT NICHT?","STA PER FARE GIORNO E CI SONO TEPPISTI E PARASSITI OVUNQUE… MA NON DORMONO MAI?","もう朝になりそうなのに、チンピラと害虫だらけだな。あいつら寝ねぇのかよ？","거의 아침인데 깡패랑 해충들이 사방에 기어 다니네. 얘들은 잠이란 걸 안 자나?","ROBIM SIĘ DZIEŃ, A WOKÓŁ PEŁNO BANDZIORÓW I ROBACTWA. ONI W OGÓLE NIE ŚPIĄ?","TÁ QUASE DE MANHÃ E TEM BANDIDO E PRAGA PRA TODO LADO… ESSES DESGRAÇADOS NÃO DORMEM, NÃO?","УЖ УТРО НАСТУПАЕТ, А ВОКРУГ ВЕЗДЕ ГНИЛЬ И ГОЛЫТЬБА. ОНИ ЧТО, ВООБЩЕ НЕ СПЯТ?","YA CASI ES DE MAÑANA Y HAY MATONES Y ALIMAÑAS POR TODAS PARTES… ¿ESTA GENTE NO DUERME NUNCA?","NEREDEYSE SABAH OLDU, HER YER ÇAPULCU VE HAŞERAT KAYNIYOR. BUNLAR HİÇ UYUMUYOR MU?"
"Dialog.Hulagu_3_1_1",424290832384,"他们在等你把他们打到“睡着”，孩子。","THEY ARE WAITING FOR YOU TO PUT THEM TO SLEEP BOY.","ILS ATTENDENT QUE TU LES METTES “AU LIT”, MON GARÇON.","SIE WARTEN DARAUF, DASS DU SIE “SCHLAFEN LEGEN” LÄSST, JUNGE.","STANNO ASPETTANDO TE PER ESSERE “ADDORMENTATI”, RAGAZZO.","奴らは“眠らせて”もらうのを待ってるんだよ、坊主。","애들은 네가 “잠재워” 주길 기다리고 있다, 아들아.","CZEKAJĄ, AŻ ICH “UŚPISZ”, SYNKU.","ESTÃO ESPERANDO VOCÊ “APAGAR” ELES, MOLEQUE.","ОНИ ЖДУТ, КОГДА ТЫ ИХ “УЛОЖИШЬ СПАТЬ”, СЫН.","ELLOS ESPERAN A QUE TÚ LOS “MANDES A DORMIR”, CHICO.","BUNLAR SENİN TARAFINDAN “UYUTULMAYI” BEKLİYOR OĞLUM."
"Dialog.Cengiz_3_1_2",851065458688,"不不不，我觉得这可不只是揍几个瘾君子…我们为什么要这么做来着？","NO NO NO, I FEEL LIKE THIS IS NOT JUST BEATING UP A FEW JUNKIES ON THE ROAD, WHY WERE WE DOING THAT AGAIN?","NON NON NON, JE SENS QUE C’EST PAS JUSTE CASSER QUELQUES JUNKIES… POURQUOI ON FAISAIT ÇA DÉJÀ ?","NEIN NEIN NEIN, ICH HAB DAS GEFÜHL, DAS IST NICHT NUR EIN PAAR JUNKIES VERPRÜGELN… WARUM MACHEN WIR DAS NOCHMAL?","NO NO NO, MI SEMBRA CHE NON SI TRATTI SOLO DI PICCHIARE DUE DROGATI… PERCHÉ LO FACCIAMO GIÀ?","いやいやいや、ただのジャンキー数人締め上げる話じゃねぇ気がすんだけど…なんで俺らこれやってんだっけ？","아니 아니 아니, 길에서 좀 Junkie 패는 게 전부가 아닌 것 같은데… 우리가 왜 이걸 하고 있지?","NIE NIE NIE, TO CHYBA NIE JEST TYLKO OKLEPANIE KILKU ĆPUNÓW… PRZYPOMNISZ MI PO CO TO?","NÃO NÃO NÃO, ISSO NÃO É SÓ QUEBRAR UNS NOIA… POR QUE MESMO A GENTE TÁ FAZENDO ISSO?","НЕТ НЕТ НЕТ, ЭТО НЕ ПРОСТО НАБИТЬ ПАРУ НАРКОМАНОВ… ПОЧЕМУ МЫ ЭТО ВООБЩЕ ДЕЛАЕМ?","NO NO NO, NO ES SOLO DARLE A UNOS JONKIS… ¿POR QUÉ ESTAMOS HACIENDO ESTO?","Bİ DUR BAKAYIM, HERKESİ DÖVE DÖVE GİDİYORUZ AMA … BİZ BUNU NEDEN YAPIYORDUK?"
"Dialog.Hulagu_3_1_2",1193568129024,"你看到他们互相问“为什么要杀你”了吗？虽然你可没杀过他们的女朋友…","DO YOU SEE THEM ASKING EACH OTHER WHY THEY NEED TO KILL YOU? ALTHOUGH NONE OF THEM HAS A GIRLFRIEND PUT TO DEATH BY YOU...","EST-CE QUE TU LES VOIS DEMANDER “POURQUOI ON DOIT TE TUER” ? ALORS QU’AUCUN D’EUX N’A UNE COPINE QUE T’AURAIS BUTÉE…","SIEHST DU ETWA, DASS DIE SICH FRAGEN “WARUM WIR IHN TÖTEN SOLLEN”? OBWOHL KEINER VON IHNEN EINE FREUNDIN HAT, DIE DU UMGEBRACHT HÄTTEST…","LI HAI VISTI CHIEDERSI “PERCHÉ DOBBIAMO UCCIDERLO”? NESSUNO DI LORO HA UNA RAGAZZA CHE TU AVRESTI AMMAZZATO…","あいつらが“なんでこいつ殺さなきゃならねぇんだ？”なんて相談してるか？お前が誰の彼女も殺してねぇのにな。","걔들이 “왜 저놈을 죽여야 하지?” 라고 서로 묻는 거 본 적 있어? 네 yüzünden ölen sevgilileri bile yok.","WIDZIAŁEŚ ICH PYTAJĄCYCH “DLACZEGO MAMY GO ZAJ***Ć”? ŻADNA Z ICH DZIEWCZYN NIE ZGINĘŁA PRZEZ CIEBIE…","VIU ELES PERGUNTANDO “POR QUE A GENTE TEM QUE MATAR ELE”? NENHUMA NAMORADA DELES MORREU POR TUA CAUSA…","ВИДЕЛ, ЧТО ОНИ СПРАШИВАЮТ “ЗАЧЕМ МЫ ДОЛЖНЫ ЕГО УБИТЬ?”? НИ У ОДНОГО ИЗ НИХ НЕТ ДЕВУШКИ, КОТОРУЮ БЫ ТЫ УБИЛ…","¿LOS VES PREGUNTÁNDOSE “POR QUÉ TENEMOS QUE MATARLO”? SI NINGUNA NOVIA DE ELLOS HA MUERTO POR TU CULPA…","“ONU NİYE ÖLDÜRÜYORUZ?” DİYE BİRBİRLERİNE SORDUKLARINI GÖRDÜN MÜ?... HİÇBİRİNİN KIZ ARKADAŞINI ÖLDÜRDÜN MÜ? "
"Dialog.Cengiz_3_1_3",1415421644800,"说得通。","FAIR ENOUGH.","D’ACCORD.","PASST SCHON.","CI STA.","まあ、そうだな。","맞는 말이네.","FAIR ENOUGH.","FAZ SENTIDO.","СПРАВЕДЛИВО.","BUENO, TIENE SENTIDO.","MAKUL..."
"Dialog.Hulagu_3_1_3",2452463308800,"不，孩子，这还不够公平！等你砸碎他们的脑袋，那才叫公平。","NO SON, IT IS NOT FAIR ENOUGH! IT WILL BE FAIR ENOUGH WHEN YOU BREAK THEIR HEADS.","NON, MON GARÇON, C’EST PAS ASSEZ JUSTE ! CE SERA JUSTE QUAND TU LEUR ÉCLATERAS LA TÊTE.","NEIN, JUNGE, DAS IST NICHT FAIR GENUG! FAIR WIRD ES ERST, WENN DU IHRE SCHÄDEL EINBRICHST.","NO, RAGAZZO, NON È ABBASTANZA GIUSTO! SARÀ GIUSTO SOLO QUANDO GLI SPACCHERAI LA TESTA.","いいや坊主、全然足りねぇ！奴らの頭をカチ割ってやって初めて“公平”だ。","아니, 아들아, 이게 공평한 게 아냐! 너가 놈들 머리를 박살낼 때가 돼야 공평해지는 거다.","NIE, SYNKU, TO NIE JEST “SPRAWIEDLIWIE”! SPRAWIEDLIWIE BĘDZIE, JAK IM ROZBIJESZ CZACHY.","NÃO FILHO, NÃO É JUSTO AINDA! VAI SER JUSTO QUANDO VOCÊ QUEBRAR A CABEÇA DELES.","НЕТ, СЫН, ЭТО НЕДОСТАТОЧНО СПРАВЕДЛИВО! СПРАВЕДЛИВО БУДЕТ, КОГДА ТЫ ИМ ЧЕРЕПА ПРОБЬЁШЬ.","NO, CHICO, ¡NO ES SUFICIENTE! VA A SER JUSTO CUANDO LES ROMPAS LA CABEZA.","HAYIR OĞLUM, BU YETERİNCE ADİL DEĞİL! KAFALARINI KIRDIGINDA ADİL OLACAK."
"Dialog.Cengiz_3_1_4",2714556977152,"这点我无话可说！！！","I CAN'T ARGUE WITH THAT !!!","J’AI RIEN À DIRE LÀ-DESSUS !!!","DAZU KANN ICH NICHTS SAGEN !!!","NON POSSO DISCUTERE SU QUESTO !!!","それは何も言えねぇ！！！","그건 할 말 없다 !!!","NIE MAM NA TO ŻADNEGO ARGUMENTU !!!","NÃO TENHO COMO DISCUTIR ISSO !!!","ТУТ Я НЕ СПОРЮ !!!","NO PUEDO DISCUTIR ESO !!!","BU SÖZE LAF EDERSEM ŞEREFSİZİM !!!"
"Dialog.Cengiz_3_2_1",2928265154560,"Jurino？什么鬼？","JURINO? WHAT THE HELL?","JURINO ? C’EST QUOI CE BORDEL ?","JURINO? WAS ZUR HÖLLE?","JURINO? MA CHE DIAVOLO?","ジュリノ？なんだよこれ？","주리노? 이게 뭐야?","JURINO? CO JEST DO CHOLERY?","JURINO? QUE PORRA?","ДЖУРИНО? КАКОГО ЧЁРТА?","¿JURINO? ¿QUÉ MIERDA?","JURINO? BU NE LAN?"
"Dialog.Jurino_3_2_1",3698712662016,"啊，所以所谓的救世主终于来了。有趣，我等着你，而你竟然不知道我在这里。","AAAHH SO CALLED SAVIOUR ARRIVED. FUNNY THAT I HAVE BEEN WAITING YOU, BUT YOU DIDN'T EVEN KNOW I WAS HERE.","AAAHH LE “SAUVEUR” EST ENFIN LÀ. DRÔLE, JE T’ATTENDAIS, ET TOI TU SAVAIS MÊME PAS QUE J’ÉTAIS LÀ.","AAAHH DER “ERLÖSER” IST ANGEKOMMEN. LUSTIG, ICH HAB AUF DICH GEWARTET, UND DU HAST NICHT MAL GEWUSST, DASS ICH HIER BIN.","AAAHH IL “SALVATORE” È ARRIVATO. BUFFO CHE TI ASPETTASSI, E TU NON SAPEVI NEMMENO CHE ERO QUI.","あああ、“救世主様”のお出ましかよ。面白ぇな、俺はずっと待ってたのに、お前は俺がいることすら知らなかったってかよ。","아아아, “구세주님” 오셨네. 웃기네, 난 기다리고 있었는데 넌 내가 여기 있는 줄도 몰랐지.","AAAHH, TEN “ZBAWCA” ŁASKAWIE PRZYBYŁ. ŚMIESZNE, JA CZEKAŁEM, A TY NAWET NIE WIEDZIAŁEŚ, ŻE TU JESTEM.","AAAHH, O “SALVADOR” CHEGOU. ENGRAÇADO QUE EU TAVA AQUI ESPERANDO, E VOCÊ NEM SABIA QUE EU EXISTIA.","АААХ, “СПАСИТЕЛЬ” ПРИШЁЛ. СМЕШНО, Я ЖДАЛ, А ТЫ ДАЖЕ НЕ ЗНАЛ, ЧТО Я ТУТ.","AAAHH, EL “SALVADOR” LLEGÓ. GRACIOSO QUE YO ESPERABA, Y TÚ NI SABÍAS QUE ESTABA AQUÍ.","AAAHH, “KURTARICI” GELDİ. KOMİK, BEN BEKLİYORDUM AMA SEN BENİM BURADA OLDUĞUMU BİLE BİLMİYORDUN."
"Dialog.Hulagu_3_2_1",4096873746432,"你在开玩笑吗？他当然知道你在这。否则天不亮就在协和广场干嘛？","ARE YOU KIDDING ME? HE OF COURSE KNEW YOU WERE HERE, WHY THE HELL WOULD HE BE IN THE CONCORDE AT DAWN FOR GOD SAKE?","TU TE FOUS DE MOI ? BIEN SÛR QU’IL SAVAIT QUE T’ÉTAIS LÀ ! POURQUOI IL SERait À CONCORDE À L’AUBE SINON ?","BIST DU VERDAMMT NOCHMAL VERRÜCKT? NATÜRLICH WUSSTE ER, DASS DU HIER BIST! WARUM ZUR HÖLLE WÄRE ER SONST BEI DER CONCORDE IM MORGENGRAUEN?","MI PRENDI PER IL CULO? CERTO CHE LO SAPEVA! PERCHÉ C***O SAREBBE ALLA CONCORDE ALL’ALBA SENZA MOTIVO?","ふざけんなよ。あいつがここにいるの知ってたに決まってんだろ。じゃなきゃ夜明け前にコンコルドにいるわけねぇだろ。","농담하냐? 당연히 네가 여기 있는 걸 알고 있었지. 아니었으면 새벽에 콩코르드에 왜 왔겠어?","ŻARTUJESZ SOBIE? OCZYWIŚCIE, ŻE WIEDZIAŁ, ŻE TU JESTEŚ! INACZEJ PO CO DO CHOLERY BYŁBY NA CONCORDE O ŚWICIE?!","TA DE BRINCADEIRA? CLARO QUE ELE SABIA QUE TU TAVA AQUI! SENÃO PRA QUE DIABOS ELE TARIA NA CONCORDE DE MADRUGA?","ТЫ ИЗДЕВАЕШЬСЯ? КОНЕЧНО, ОН ЗНАЛ, ЧТО ТЫ ЗДЕСЬ! НА ХРЕН ОН ЕЩЁ БЫЛ БЫ НА КОНКОРДЕ НА РАССВЕТЕ?","¿ME ESTÁS TOMANDO EL PELO? ¡CLARO QUE SABÍA QUE ESTABAS AQUÍ! SI NO, ¿PARA QUÉ COÑO ESTARÍA EN LA CONCORDE AL AMANECER?","DALGA MI GEÇİYORSUN? TABİ Kİ SENİN BURADA OLDUĞUNU BİLİYORDU! YOKSA ŞAFAKTA CONCORDE’DE NE İŞİ VAR!"
