Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"Intro.OnceUpon",12678615040,"很久很久以前...","ONCE UPON A TIME...","IL ÉTAIT UNE FOIS...","ES WAR EINMAL...","C’ERA UNA VOLTA...","昔々...","옛날 옛적에...","DAWNO, DAWNO TEMU...","ERA UMA VEZ...","ЖИЛ-БЫЛ...","HABÍA UNA VEZ...","BİR VARMIŞ BİR YOKMUŞ..."
"Intro.TheWorld",154639028224,"世界被分裂为两大阵营。","THE WORLD WAS POLARIZED INTO TWO SIDES.","LE MONDE ÉTAIT DIVISÉ EN DEUX CAMPS.","DIE WELT WAR IN ZWEI LAGER GESPALTEN.","IL MONDO ERA DIVISO IN DUE FAZIONI.","世界はふたつの陣営に割れていた。","세상은 두 진영으로 나뉘었다.","ŚWIAT BYŁ PODZIELONY NA DWIE STRONY.","O MUNDO ESTAVA POLARIZADO EM DOIS LADOS.","МИР БЫЛ РАЗДЕЛЕН НА ДВА ЛАГЕРЯ.","EL MUNDO ESTABA POLARIZADO EN DOS BANDOS.","DÜNYA İKİ TARAFA BÖLÜNMÜŞTÜ."
"Intro.HardSide",187249741824,"有一方是“强硬”派…","THERE WAS THE ""HARD"" SIDE...","IL Y AVAIT LE CÔTÉ ""DUR""...","DA WAR DIE ""HARTE"" SEITE...","C’ERA IL LATO ""DURO""...","「強硬」な側があった…","“강경파”가 있었다...","BYŁA STRONA ""TWARDA""...","HAVIA O LADO ""DIFÍCIL""...","БЫЛА «ЖЕСТКАЯ» СТОРОНА...","HABÍA UN LADO ""DURO""...","“ZORLU” TARAF VARDI..."
"Intro.SoftSide",233252868096,"另一方是“柔软”派。","AND THERE WAS THE ""SOFT"" SIDE.","ET IL Y AVAIT LE CÔTÉ ""DOUX"".","UND ES GAB DIE ""WEICHE"" SEITE.","C’ERA IL LATO ""MORBIDO"".","そして「柔らかい」側があった。","그리고 ""부드러운"" 측이 있었다.","BYŁA TEŻ STRONA ""MIĘKKA"".","E HAVIA O LADO ""SUAVE"".","БЫЛА И «МЯГКАЯ» СТОРОНА.","Y HABÍA UN LADO ""BLANDO"".","DİĞER TARAF “YUMUŞAK”TI."
"Intro.Harder",291469807616,"“强硬”派越来越强硬...","AS THE ""HARD"" SIDE GREW HARDER...","ALORS QUE LE CÔTÉ ""DUR"" DEVENAIT ENCORE PLUS DUR...","ALS DIE ""HARTE"" SEITE HÄRTER WURDE...","MENTRE IL LATO ""DURO"" CRESCEVA...","「強硬」側はますます強硬になった…","강경파가 점점 더 강해졌다...","STRONA ""TWARDA"" STAWAŁA SIĘ CORAZ TWARDZSZA...","À MEDIDA QUE O LADO ""DIFÍCIL"" FICAVA MAIS DIFÍCIL...","СТОРОНА «ЖЕСТКИХ» СТАНОВИЛАСЬ ЕЩЁ ЖЁСТЧЕ...","EL LADO ""DURO"" SE HACÍA MÁS DURO...","“ZORLU” TARAF DAHA DA SERTLEŞTİ..."
"Intro.Darker",370935091200,"“柔软”派也变得更加阴暗...","THE ""SOFT"" SIDE GREW DARKER...","LE CÔTÉ ""DOUX"" DEVENAIT PLUS SOMBRE...","DIE ""WEICHE"" SEITE WURDE DUNKLER...","IL LATO ""MORBIDO"" DIVENTAVA PIÙ OSCURO...","「柔らかい」側も暗くなっていった…","부드러운 측도 점점 어두워졌다...","STRONA ""MIĘKKA"" STAWAŁA SIĘ CIEMNIEJSZA...","O LADO ""SUAVE"" FICOU MAIS SOMBRIO...","МЯГКАЯ СТОРОНА СТАНОВИЛАСЬ ВСЁ ТЕМНЕЕ...","EL LADO ""BLANDO"" SE VOLVÍA MÁS OSCURO...","“YUMUŞAK” TARAF DA KARANLIKLAŞTI..."
"Intro.Neglected",588455890944,"就像一个被忽视的兄弟...","LIKE A NEGLECTED BROTHER...","COMME UN FRÈRE NÉGLIGÉ...","WIE EIN VERNACHLÄSSIGTER BRUDER...","COME UN FRATELLO TRASCURATO...","無視された兄のように…","방치된 형처럼...","JAK ZANIEDBANY BRAT...","COMO UM IRMÃO NEGLIGENCIADO...","КАК ЗАБРОШЕННЫЙ БРАТ...","COMO UN HERMANO DESCUIDADO...","BİR İHMAL EDİLMİŞ KARDEŞ GİBİ..."
"Intro.Reaching",622517833728,"...伸手向他的兄弟寻求帮助...","...REACHING FOR HIS SIBLING, ASKING FOR HELP...","...TENDANT LA MAIN À SON FRÈRE POUR DEMANDER DE L'AIDE...","...GRIFFEND NACH SEINEM GESCHWISTER, UM HILFE BITTEND...","...ALLUNGANDO LA MANO VERSO IL FRATELLO, CHIEDENDO AIUTO...","…助けを求めて兄弟に手を伸ばす…","...도움을 청하며 형제에게 손을 뻗다...","...WYCIĄGAJĄC RĘKĘ DO BRATA, PROSZĄC O POMOC...","...ESTENDENDO A MÃO PARA O IRMÃO, PEDINDO AJUDA...","...ПРОТЯГИВАЯ РУКУ К БРАТУ ЗА ПОМОЩЬЮ...","...ALCANZANDO A SU HERMANO PIDIENDO AYUDA...","...KARDEŞİNE YARDIM İSTEMEK İÇİN UZANDI..."
"Intro.UnIntentionally",673952583680,"无意中造成一些伤害，","HURTING A LITTLE UNINTENTIONALLY,","EN BLESSANT UN PEU INVOLONTAIREMENT,","ETWAS UNBEABSICHTIG VERLETZEND,","FERENDO UN PO’ INVOLONTARIAMENTE,","少し無意識に傷つけて、","조금 의도치 않게 상처를 주며,","RANIĄC TROCHĘ NIEUMYŚLNIE,","MACHUCANDO UM POUCO SEM QUERER,","НЕНАРОКОМ ПРИЧИНЯЯ НЕБОЛЬШУЮ БОЛЬ,","HIRIENDO UN POCO SIN QUERER,","BİRAZ İSTEMEDEN ZARAR VEREREK,"
"Intro.Intentionally",804751953920,"也许还有一点是故意的。","AND MAYBE A LITTLE INTENTIONALLY.","ET PEUT-ÊTRE UN PEU INTENTIONNELLEMENT.","UND VIELLEICHT EIN WENIG ABSICHTLICH.","E FORSE UN PO’ INTENZIONALMENTE.","そして少し意図的に。","그리고 조금 의도적으로.","I MOŻE TROCHĘ CELOWO.","E TALVEZ UM POUCO INTENCIONALMENTE.","И, ВОЗМОЖНО, НЕМНОГО НАМЕРЕННО.","Y TAL VEZ UN POCO INTENCIONALMENTE.","BELKİ BİRAZ DA KASITLI."
