Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"Items.SelectItem",7305711616,"选择物品","SELECT AN ITEM","SÉLECTIONNER UN OBJET","EINEN GEGENSTAND WÄHLEN","SELEZIONA UN OGGETTO","アイテムを選択","아이템 선택","WYBIERZ PRZEDMIOT","SELECIONAR ITEM","ВЫБЕРИТЕ ПРЕДМЕТ","SELECCIONAR UN OBJETO","EŞYA SEÇ"
"Items.Instant",3082011561984,"立即","INSTANT","INSTANTANÉ","SOFORT","IMMEDIATO","即時","즉시","NATYCHMIASTOWY","INSTANTÂNEO","МГНОВЕННЫЙ","INSTANTÁNEO","ANINDA"
"Items.SecondsShort",3155005034496,"秒","SEC.","SEC.","SEK.","SEC.","秒","초","S.","SEG.","СЕК.","SEG.","SN."
"Items.TotalAmount",3226073321472,"总量","TOTAL AMOUNT","MONTANT TOTAL","GESAMTBETRAG","QUANTITÀ TOTALE","総量","총량","CAŁKOWITA ILOŚĆ","QUANTIDADE TOTAL","ОБЩЕЕ КОЛИЧЕСТВО","CANTIDAD TOTAL","TOPLAM MİKTAR"
"Items.Duration",3323414728704,"持续时间","DURATION","DURÉE","DAUER","DURATA","持続時間","지속시간","CZAS TRWANIA","DURAÇÃO","ПРОДОЛЖИТЕЛЬНОСТЬ","DURACIÓN","SÜRE"
"Items.Names.Concrete Sledgehammer",3987515658240,"混凝土大锤","CONCRETE SLEDGEHAMMER","MARTEAU EN BÉTON","BETONSCHLÄGEL","MARTELLO DI CEMENTO","コンクリートハンマー","콘크리트 해머","MŁOT BETONOWY","MARTELO DE CONCRETO","БЕТОННЫЙ МОЛОТ","MARTILLO DE HORMIGÓN","BETON ÇEKİÇ"
"Items.Names.WrenchHammer",4064191729664,"扳手锤","WRENCH HAMMER","MARTEAU-CLÉ","SCHRAUBENSCHLÜSSELHAMMER","MARTELLO CHIAVE","レンチハンマー","렌치 해머","MŁOT KLUCZ","CHAVE MARTELO","МОЛОТОК-КЛЮЧ","MARTILLO LLAVE","ANAHTAR ÇEKİÇ"
"Items.Names.The Unbalanced",4192369659904,"失衡者","THE UNBALANCED","LE DÉSÉQUILIBRÉ","DER UNAUSGEGLICHENE","SQUILIBRATO","アンバランス","불균형한","TEN, KTÓRY JEST NIEZRÓWNOWAŻONY","O DESEQUILIBRADO","НЕУРАВНОВЕШЕННЫЙ","EL DESEQUILIBRADO","DENGESİZ"
"Items.Names.RedPan",4283532857344,"红锅","RED PAN","POÊLE ROUGE","ROTE PFANNE","PADELLA ROSSA","赤いフライパン","빨간 프라이팬","CZERWONA PATELNIA","PANELA VERMELHA","КРАСНАЯ СКОВОРОДА","SARTÉN ROJA","KIRMIZI TAVA"
"Items.Names.PipeMace",4491406757888,"管锤","PIPE MACE","MASSE EN TUYAU","ROHRKEULE","MAZZA DI TUBO","パイプメイス","파이프 메이스","MACZUGA Z RURY","MARTELO DE CANO","ТРУБНАЯ БУЛАВА","MACHA DE TUBO","BORU TOPUZ"
"Items.Names.Hydra Hammer",4569550835712,"消防栓锤","HYDRA HAMMER","MARTEAU HYDRA","HYDRA-HAMMER","MARTELLO IDRA","ハイドラハンマー","하이드라 해머","MŁOT HYDRA","MARTELO HIDRA","МОЛОТ ГИДРА","MARTILLO HIDRA","HİDRA ÇEKİÇ"
"Items.Desc.Concrete Sledgehammer",4663973007360,"似乎有人在施工现场发泄不满。沉重但有冲击力！","SEEMS LIKE SOMEONE HAD ISSUES AROUND THE CONSTRUCTION GROUND. HEAVY BUT IMPACTFUL!","ON DIRAIT QUE QUELQU’UN AVAIT DES PROBLÈMES SUR LE CHANTIER. LOURD MAIS PUISSANT !","SCHEINT, ALS HÄTTE JEMAND AUF DER BAUSTELLE PROBLEME GEHABT. SCHWER, ABER WIRKUNGSVOLL!","SEMBRA CHE QUALCUNO AVESSE PROBLEMI SUL CANTIERE. PESANTE MA D’EFFETTO!","工事現場で誰かが苛立っていたようだ。重いが衝撃的！","누군가 건설 현장에서 불만을 풀었나 보다. 무겁지만 강력하다!","WYGLĄDA NA TO, ŻE KTOŚ MIAŁ PROBLEMY NA BUDOWIE. CIĘŻKI, ALE SKUTECZNY!","PARECE QUE ALGUÉM TEVE PROBLEMAS NO CANTEIRO DE OBRAS. PESADO, MAS IMPACTANTE!","ПОХОЖЕ, КТО-ТО ВЫМЕСТИЛ ЗЛОСТЬ НА СТРОЙКЕ. ТЯЖЁЛЫЙ, НО МОЩНЫЙ!","PARECE QUE ALGUIEN TENÍA PROBLEMAS EN LA OBRA. PESADO PERO CONTUNDENTE!","SANKİ BİRİ İNŞAATTA SİNİRİNİ BURADAN ÇIKARMIŞ. AĞIR AMA ETKİLİ!"
