Key,Id,Chinese (Simplified)(zh-Hans),English(en),French(fr),German(de),Italian(it),Japanese(ja),Korean(ko),Polish(pl),Portuguese (Brazil)(pt-BR),Russian(ru),Spanish(es),Turkish(tr)
"UI.MainMenu.Continue",367895422193664,"继续","CONTINUE","CONTINUER","FORTSETZEN","CONTINUA","続きから","계속하기","KONTYNUUJ","CONTINUAR","ПРОДОЛЖИТЬ","CONTINUAR","DEVAM ET"
"UI.MainMenu.NewGame",368165627645952,"开始新游戏","START NEW GAME","NOUVELLE PARTIE","NEUES SPIEL","NUOVA PARTITA","新しいゲームを始める","새 게임 시작","NOWA GRA","NOVO JOGO","НОВАЯ ИГРА","NUEVA PARTIDA","YENİ OYUN"
"UI.MainMenu.TraininRoom",368237136334848,"训练室","TRAINING ROOM","SALLE D’ENTRAÎNEMENT","TRAININGSRAUM","SALA DI ALLENAMENTO","トレーニングルーム","훈련실","POKÓJ TRENINGOWY","SALA DE TREINO","ТРЕНИРОВОЧНЫЙ ЗАЛ","SALA DE ENTRENAMIENTO","ANTRENMAN"
"UI.MainMenu.Settings",368263333957632,"设置","SETTINGS","PARAMÈTRES","EINSTELLUNGEN","IMPOSTAZIONI","設定","설정","USTAWIENIA","CONFIGURAÇÕES","НАСТРОЙКИ","AJUSTES","AYARLAR"
"UI.MainMenu.Exit",368305822257152,"退出","EXIT","QUITTER","BEENDEN","ESCI","終了","종료하기","ZAKOŃCZ","SAIR","ВЫХОД","SALIR","ÇIKIŞ"
"UI.SettingsMenu.MasterAudio",389333197803520,"主音量","MASTER AUDIO","VOLUME PRINCIPAL","HAUPTLAUTSTÄRKE","VOLUME PRINCIPALE","マスター音量","마스터 볼륨","GŁOŚNOŚĆ GŁÓWNA","VOLUME PRINCIPAL","ОБЩАЯ ГРОМКОСТЬ","VOLUMEN PRINCIPAL","GENEL SES"
"UI.SettingsMenu.SFX",389336419028992,"音效","SOUND FX","EFFETS SONORES","SOUNDEFFEKTE","EFFETTI SONORI","効果音","사운드 효과","EFEKTY DŹWIĘKOWE","EFEITOS SONOROS","ЗВУКОВЫЕ ЭФФЕКТЫ","EFECTOS DE SONIDO","SES EFEKT"
"UI.SettingsMenu.Music",389339237601280,"音乐","MUSIC","MUSIQUE","MUSIK","MUSICA","音楽","음악","MUZYKA","MÚSICA","МУЗЫКА","MÚSICA","MÜZİK"
"UI.SettingsMenu.Brightness",389347588460544,"亮度","BRIGHTNESS","LUMINOSITÉ","HELLIGKEIT","LUMINOSITÀ","明るさ","밝기","JASNOŚĆ","BRILHO","ЯРКОСТЬ","BRILLO","PARLAKLIK"
"UI.MainMenu.Save",390742458781696,"保存","SAVE","SAUVEGARDER","SPEICHERN","SALVA","保存する","저장","ZAPISZ","SALVAR","СОХРАНИТЬ","GUARDAR","KAYDET"
"UI.MainMenu.Cancel",390746099437568,"取消","CANCEL","ANNULER","ABBRECHEN","ANNULLA","キャンセル","취소","ANULUJ","CANCELAR","ОТМЕНА","CANCELAR","İPTAL"
"Ingame.Menu.ToMenu",4347269670522880,"主菜单","MAIN MENU","MENU PRINCIPAL","HAUPTMENÜ","MENU PRINCIPALE","メインメニュー","메인 메뉴","MENU GŁÓWNE","MENU PRINCIPAL","ГЛАВНОЕ МЕНЮ","MENÚ PRINCIPAL","ANA MENÜ"
"Ingame.Menu.QuitGame",4347416936730624,"退出游戏","EXIT GAME","QUITTER LE JEU","SPIEL BEENDEN","ESCI DAL GIOCO","ゲーム終了","게임 종료","ZAKOŃCZ GRĘ","SAIR DO JOGO","ВЫЙТИ ИЗ ИГРЫ","SALIR DEL JUEGO","OYUNDAN ÇIK"
"Ingame.Ability.Brawling",4349975558639616,"徒手格斗","BRAWLING","BAGARRE","KAMPF MIT DEN FÄUSTEN","LOTTA A MANI NUDE","素手格闘","맨손 전투","WALKI NA PIĘŚCI","LUTA CORPORAL","РУКОПАШНЫЙ БОЙ","PELEA A PUÑOS","ÇIPLAK EL"
"Ingame.Ability.ShortBlunt",4350118425022464,"短棍","SHORT BLUNT","ARME COURTE","KEULE KURZ","KORTA MAZZA","短い鈍器","짧은 둔기","KRÓTKA MACZUGA","ARMA CURTA","КОРОТКОЕ ДУБИНКА","ARMA CORTA","KISA KÜT"
"Ingame.Ability.LongBlunt",4350376458604544,"长棍","LONG BLUNT","ARME LONGUE","LANGE KEULE","LUNGA MAZZA","長い鈍器","긴 둔기","DŁUGA MACZUGA","ARMA LONGA","ДЛИННОЕ ДУБИНКА","ARMA LARGA","UZUN KÜT"
"UI_DialogMenu.Next",7675391828578304,"下一个","NEXT","SUIVANT","WEITER","AVANTI","次へ","다음","DALEJ","PRÓXIMO","ДАЛЬШЕ","SIGUIENTE","İLERİ"
"UI_DialogMenu.Prev",7675520090394624,"返回","BACK","RETOUR","ZURÜCK","INDIETRO","戻る","뒤로","WRÓĆ","VOLTAR","НАЗАД","ATRÁS","GERİ"
"UI_DialogMenu.End",7677510681907200,"结束","END","FIN","ENDE","FINE","終わり","끝","KONIEC","FIM","КОНЕЦ","FINAL","BİTİR"
"UI_Loading",13840839670517760,"加载中…","Loading...","CHARGEMENT...","WIRD GELADEN…","CARICAMENTO…","読み込み中…","로딩 중…","ŁADOWANIE…","CARREGANDO…","ЗАГРУЗКА…","CARGANDO…","YÜKLENİYOR"
